tick,task_name,task_value,revenue,cost,agent_id
4,Bake,275,500,225,13
5,Bake,85,210,125,-1
5,Farm,50,50,0,-1
5,Bake,85,210,125,2
5,Bake,85,210,125,-1
5,Farm,50,50,0,-1
5,Bake,85,210,125,4
5,Bake,295,420,125,-1
5,Farm,5,5,0,-1
5,Bake,295,420,125,8
5,Bake,-104,21,125,-1
5,Farm,100,100,0,-1
5,Farm,100,100,0,0
5,Bake,85,210,125,-1
5,Farm,100,100,0,-1
5,Farm,100,100,0,10
5,Bake,85,210,125,-1
5,Farm,100,100,0,-1
5,Farm,100,100,0,11
5,Bake,295,420,125,-1
5,Farm,50,50,0,-1
5,Bake,295,420,125,7
5,Bake,295,420,125,-1
5,Farm,50,50,0,-1
5,Bake,295,420,125,6
5,Bake,295,420,125,-1
5,Farm,50,50,0,-1
5,Bake,295,420,125,5
5,Bake,85,210,125,-1
5,Farm,100,100,0,-1
5,Farm,100,100,0,9
5,Bake,295,420,125,-1
5,Farm,5,5,0,-1
5,Farm,5,5,0,3
5,Bake,85,210,125,-1
5,Farm,5,5,0,-1
5,Farm,5,5,0,1
5,Bake,295,420,125,-1
5,Farm,50,50,0,-1
5,Bake,295,420,125,13
6,Bake,0,150,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,2
6,Bake,0,150,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,4
6,Bake,150,300,150,-1
6,Farm,6,6,0,-1
6,Farm,6,6,0,8
6,Bake,-135,15,150,-1
6,Farm,120,120,0,-1
6,Farm,120,120,0,0
6,Bake,0,150,150,-1
6,Farm,120,120,0,-1
6,Farm,120,120,0,10
6,Bake,0,150,150,-1
6,Farm,120,120,0,-1
6,Farm,120,120,0,11
6,Bake,150,300,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,7
6,Bake,150,300,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,6
6,Bake,150,300,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,5
6,Bake,0,150,150,-1
6,Farm,120,120,0,-1
6,Farm,120,120,0,9
6,Bake,150,300,150,-1
6,Farm,6,6,0,-1
6,Farm,6,6,0,3
6,Bake,0,150,150,-1
6,Farm,6,6,0,-1
6,Farm,6,6,0,1
6,Bake,150,300,150,-1
6,Farm,60,60,0,-1
6,Farm,60,60,0,13
7,Bake,85,210,125,-1
7,Farm,50,50,0,-1
7,Bake,85,210,125,2
7,Bake,85,210,125,-1
7,Farm,50,50,0,-1
7,Bake,85,210,125,4
7,Bake,295,420,125,-1
7,Farm,5,5,0,-1
7,Bake,295,420,125,8
7,Bake,-104,21,125,-1
7,Farm,100,100,0,-1
7,Farm,100,100,0,0
7,Bake,85,210,125,-1
7,Farm,100,100,0,-1
7,Farm,100,100,0,10
7,Bake,85,210,125,-1
7,Farm,100,100,0,-1
7,Farm,100,100,0,11
7,Bake,295,420,125,-1
7,Farm,50,50,0,-1
7,Bake,295,420,125,7
7,Bake,295,420,125,-1
7,Farm,50,50,0,-1
7,Bake,295,420,125,6
7,Bake,295,420,125,-1
7,Farm,50,50,0,-1
7,Bake,295,420,125,5
7,Bake,85,210,125,-1
7,Farm,100,100,0,-1
7,Farm,100,100,0,9
7,Bake,295,420,125,-1
7,Farm,5,5,0,-1
7,Farm,5,5,0,3
7,Bake,85,210,125,-1
7,Farm,5,5,0,-1
7,Farm,5,5,0,1
7,Bake,295,420,125,-1
7,Farm,50,50,0,-1
7,Bake,295,420,125,13
8,Bake,10,160,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,2
8,Bake,10,160,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,4
8,Bake,170,320,150,-1
8,Farm,6,6,0,-1
8,Farm,6,6,0,8
8,Bake,-134,16,150,-1
8,Farm,120,120,0,-1
8,Farm,120,120,0,0
8,Bake,10,160,150,-1
8,Farm,120,120,0,-1
8,Farm,120,120,0,10
8,Bake,10,160,150,-1
8,Farm,120,120,0,-1
8,Farm,120,120,0,11
8,Bake,170,320,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,7
8,Bake,170,320,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,6
8,Bake,170,320,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,5
8,Bake,10,160,150,-1
8,Farm,120,120,0,-1
8,Farm,120,120,0,9
8,Bake,170,320,150,-1
8,Farm,6,6,0,-1
8,Farm,6,6,0,3
8,Bake,10,160,150,-1
8,Farm,6,6,0,-1
8,Farm,6,6,0,1
8,Bake,170,320,150,-1
8,Farm,60,60,0,-1
8,Farm,60,60,0,13
9,Bake,100,150,50,-1
9,Farm,20,20,0,-1
9,Farm,20,20,0,2
9,Bake,100,150,50,-1
9,Farm,20,20,0,-1
9,Bake,100,150,50,4
9,Bake,250,300,50,-1
9,Farm,2,2,0,-1
9,Bake,250,300,50,8
9,Bake,-35,15,50,-1
9,Farm,40,40,0,-1
9,Farm,40,40,0,0
9,Bake,100,150,50,-1
9,Farm,40,40,0,-1
9,Bake,100,150,50,10
9,Bake,100,150,50,-1
9,Farm,40,40,0,-1
9,Bake,100,150,50,11
9,Bake,250,300,50,-1
9,Farm,20,20,0,-1
9,Bake,250,300,50,7
9,Bake,250,300,50,-1
9,Farm,20,20,0,-1
9,Bake,250,300,50,6
9,Bake,250,300,50,-1
9,Farm,20,20,0,-1
9,Bake,250,300,50,5
9,Bake,100,150,50,-1
9,Farm,40,40,0,-1
9,Bake,100,150,50,9
9,Bake,250,300,50,-1
9,Farm,2,2,0,-1
9,Farm,2,2,0,3
9,Bake,100,150,50,-1
9,Farm,2,2,0,-1
9,Bake,100,150,50,1
9,Bake,250,300,50,-1
9,Farm,20,20,0,-1
9,Bake,250,300,50,13
10,Bake,-45,80,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,2
10,Bake,-45,80,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,4
10,Bake,35,160,125,-1
10,Farm,5,5,0,-1
10,Farm,5,5,0,8
10,Bake,-117,8,125,-1
10,Farm,100,100,0,-1
10,Farm,100,100,0,0
10,Bake,-45,80,125,-1
10,Farm,100,100,0,-1
10,Farm,100,100,0,10
10,Bake,-45,80,125,-1
10,Farm,100,100,0,-1
10,Farm,100,100,0,11
10,Bake,35,160,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,7
10,Bake,35,160,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,6
10,Bake,35,160,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,5
10,Bake,-45,80,125,-1
10,Farm,100,100,0,-1
10,Farm,100,100,0,9
10,Bake,35,160,125,-1
10,Farm,5,5,0,-1
10,Farm,5,5,0,3
10,Bake,-45,80,125,-1
10,Farm,5,5,0,-1
10,Farm,5,5,0,1
10,Bake,35,160,125,-1
10,Farm,50,50,0,-1
10,Farm,50,50,0,13
11,Bake,65,140,75,-1
11,Farm,30,30,0,-1
11,Bake,65,140,75,2
11,Bake,65,140,75,-1
11,Farm,30,30,0,-1
11,Farm,30,30,0,4
11,Bake,205,280,75,-1
11,Farm,3,3,0,-1
11,Farm,3,3,0,8
11,Bake,-61,14,75,-1
11,Farm,60,60,0,-1
11,Farm,60,60,0,0
11,Bake,65,140,75,-1
11,Farm,60,60,0,-1
11,Bake,65,140,75,10
11,Bake,65,140,75,-1
11,Farm,60,60,0,-1
11,Bake,65,140,75,11
11,Bake,205,280,75,-1
11,Farm,30,30,0,-1
11,Farm,30,30,0,7
11,Bake,205,280,75,-1
11,Farm,30,30,0,-1
11,Farm,30,30,0,6
11,Bake,205,280,75,-1
11,Farm,30,30,0,-1
11,Farm,30,30,0,5
11,Bake,65,140,75,-1
11,Farm,60,60,0,-1
11,Bake,65,140,75,9
11,Bake,65,140,75,-1
11,Farm,3,3,0,-1
11,Farm,3,3,0,1
11,Bake,205,280,75,-1
11,Farm,30,30,0,-1
11,Farm,30,30,0,13
12,Bake,10,160,150,-1
12,Farm,60,60,0,-1
12,Farm,60,60,0,2
12,Bake,10,160,150,-1
12,Farm,60,60,0,-1
12,Farm,60,60,0,4
12,Bake,170,320,150,-1
12,Farm,6,6,0,-1
12,Farm,6,6,0,8
12,Bake,-134,16,150,-1
12,Farm,120,120,0,-1
12,Farm,120,120,0,0
12,Bake,10,160,150,-1
12,Farm,120,120,0,-1
12,Farm,120,120,0,10
12,Bake,10,160,150,-1
12,Farm,120,120,0,-1
12,Farm,120,120,0,11
12,Bake,170,320,150,-1
12,Farm,60,60,0,-1
12,Bake,170,320,150,7
12,Bake,170,320,150,-1
12,Farm,60,60,0,-1
12,Bake,170,320,150,6
12,Bake,170,320,150,-1
12,Farm,60,60,0,-1
12,Bake,170,320,150,5
12,Bake,10,160,150,-1
12,Farm,120,120,0,-1
12,Farm,120,120,0,9
12,Bake,10,160,150,-1
12,Farm,6,6,0,-1
12,Farm,6,6,0,1
12,Bake,170,320,150,-1
12,Farm,60,60,0,-1
12,Bake,170,320,150,13
13,Bake,-60,40,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,2
13,Bake,-60,40,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,4
13,Bake,-20,80,100,-1
13,Farm,4,4,0,-1
13,Farm,4,4,0,8
13,Bake,-96,4,100,-1
13,Farm,80,80,0,-1
13,Farm,80,80,0,0
13,Bake,-60,40,100,-1
13,Farm,80,80,0,-1
13,Farm,80,80,0,10
13,Bake,-60,40,100,-1
13,Farm,80,80,0,-1
13,Farm,80,80,0,11
13,Bake,-20,80,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,7
13,Bake,-20,80,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,6
13,Bake,-20,80,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,5
13,Bake,-60,40,100,-1
13,Farm,80,80,0,-1
13,Farm,80,80,0,9
13,Bake,-60,40,100,-1
13,Farm,4,4,0,-1
13,Farm,4,4,0,1
13,Bake,-20,80,100,-1
13,Farm,40,40,0,-1
13,Farm,40,40,0,13
14,Bake,140,190,50,-1
14,Farm,20,20,0,-1
14,Bake,140,190,50,2
14,Bake,140,190,50,-1
14,Farm,20,20,0,-1
14,Bake,140,190,50,4
14,Bake,330,380,50,-1
14,Farm,2,2,0,-1
14,Bake,330,380,50,8
14,Bake,-31,19,50,-1
14,Farm,40,40,0,-1
14,Farm,40,40,0,0
14,Bake,140,190,50,-1
14,Farm,40,40,0,-1
14,Bake,140,190,50,10
14,Bake,140,190,50,-1
14,Farm,40,40,0,-1
14,Bake,140,190,50,11
14,Bake,330,380,50,-1
14,Farm,20,20,0,-1
14,Bake,330,380,50,7
14,Bake,330,380,50,-1
14,Farm,20,20,0,-1
14,Bake,330,380,50,6
14,Bake,330,380,50,-1
14,Farm,20,20,0,-1
14,Bake,330,380,50,5
14,Bake,140,190,50,-1
14,Farm,40,40,0,-1
14,Bake,140,190,50,9
14,Bake,140,190,50,-1
14,Farm,2,2,0,-1
14,Farm,2,2,0,1
14,Bake,330,380,50,-1
14,Farm,20,20,0,-1
14,Bake,330,380,50,13
15,Bake,-35,90,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,2
15,Bake,-35,90,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,4
15,Bake,55,180,125,-1
15,Farm,5,5,0,-1
15,Farm,5,5,0,8
15,Bake,-116,9,125,-1
15,Farm,100,100,0,-1
15,Farm,100,100,0,0
15,Bake,-35,90,125,-1
15,Farm,100,100,0,-1
15,Farm,100,100,0,10
15,Bake,-35,90,125,-1
15,Farm,100,100,0,-1
15,Farm,100,100,0,11
15,Bake,55,180,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,7
15,Bake,55,180,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,6
15,Bake,55,180,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,5
15,Bake,-35,90,125,-1
15,Farm,100,100,0,-1
15,Farm,100,100,0,9
15,Bake,55,180,125,-1
15,Farm,50,50,0,-1
15,Farm,50,50,0,13
16,Bake,5,80,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,2
16,Bake,5,80,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,4
16,Bake,85,160,75,-1
16,Farm,3,3,0,-1
16,Farm,3,3,0,8
16,Bake,-67,8,75,-1
16,Farm,60,60,0,-1
16,Farm,60,60,0,0
16,Bake,5,80,75,-1
16,Farm,60,60,0,-1
16,Farm,60,60,0,10
16,Bake,5,80,75,-1
16,Farm,60,60,0,-1
16,Farm,60,60,0,11
16,Bake,85,160,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,7
16,Bake,85,160,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,6
16,Bake,85,160,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,5
16,Bake,5,80,75,-1
16,Farm,60,60,0,-1
16,Farm,60,60,0,9
16,Bake,85,160,75,-1
16,Farm,30,30,0,-1
16,Farm,30,30,0,13
17,Bake,80,130,50,-1
17,Farm,20,20,0,-1
17,Farm,20,20,0,2
17,Bake,80,130,50,-1
17,Farm,20,20,0,-1
17,Bake,80,130,50,4
17,Bake,210,260,50,-1
17,Farm,2,2,0,-1
17,Bake,210,260,50,8
17,Bake,-37,13,50,-1
17,Farm,40,40,0,-1
17,Farm,40,40,0,0
17,Bake,80,130,50,-1
17,Farm,40,40,0,-1
17,Bake,80,130,50,10
17,Bake,80,130,50,-1
17,Farm,40,40,0,-1
17,Bake,80,130,50,11
17,Bake,210,260,50,-1
17,Farm,20,20,0,-1
17,Bake,210,260,50,7
17,Bake,210,260,50,-1
17,Farm,20,20,0,-1
17,Bake,210,260,50,6
17,Bake,210,260,50,-1
17,Farm,20,20,0,-1
17,Bake,210,260,50,5
17,Bake,80,130,50,-1
17,Farm,40,40,0,-1
17,Bake,80,130,50,9
17,Bake,210,260,50,-1
17,Farm,20,20,0,-1
17,Bake,210,260,50,13
18,Bake,0,100,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,2
18,Bake,0,100,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,4
18,Bake,100,200,100,-1
18,Farm,4,4,0,-1
18,Farm,4,4,0,8
18,Bake,-90,10,100,-1
18,Farm,80,80,0,-1
18,Farm,80,80,0,0
18,Bake,0,100,100,-1
18,Farm,80,80,0,-1
18,Farm,80,80,0,10
18,Bake,0,100,100,-1
18,Farm,80,80,0,-1
18,Farm,80,80,0,11
18,Bake,100,200,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,7
18,Bake,100,200,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,6
18,Bake,100,200,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,5
18,Bake,0,100,100,-1
18,Farm,80,80,0,-1
18,Farm,80,80,0,9
18,Bake,100,200,100,-1
18,Farm,40,40,0,-1
18,Farm,40,40,0,13
19,Bake,30,30,0,-1
19,Farm,0,0,0,-1
19,Bake,30,30,0,2
19,Bake,30,30,0,-1
19,Farm,0,0,0,-1
19,Bake,30,30,0,4
19,Bake,60,60,0,-1
19,Farm,0,0,0,-1
19,Bake,60,60,0,8
19,Bake,3,3,0,-1
19,Farm,0,0,0,-1
19,Bake,3,3,0,0
19,Bake,30,30,0,-1
19,Farm,0,0,0,-1
19,Bake,30,30,0,10
19,Bake,30,30,0,-1
19,Farm,0,0,0,-1
19,Bake,30,30,0,11
19,Bake,60,60,0,-1
19,Farm,0,0,0,-1
19,Bake,60,60,0,7
19,Bake,60,60,0,-1
19,Farm,0,0,0,-1
19,Bake,60,60,0,6
19,Bake,60,60,0,-1
19,Farm,0,0,0,-1
19,Bake,60,60,0,5
19,Bake,30,30,0,-1
19,Farm,0,0,0,-1
19,Bake,30,30,0,9
19,Bake,60,60,0,-1
19,Farm,0,0,0,-1
19,Bake,60,60,0,13
20,Bake,-5,20,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,2
20,Bake,-5,20,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,4
20,Bake,15,40,25,-1
20,Farm,1,1,0,-1
20,Farm,1,1,0,8
20,Bake,-23,2,25,-1
20,Farm,20,20,0,-1
20,Farm,20,20,0,0
20,Bake,-5,20,25,-1
20,Farm,20,20,0,-1
20,Farm,20,20,0,10
20,Bake,-5,20,25,-1
20,Farm,20,20,0,-1
20,Farm,20,20,0,11
20,Bake,15,40,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,7
20,Bake,15,40,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,6
20,Bake,15,40,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,5
20,Bake,-5,20,25,-1
20,Farm,20,20,0,-1
20,Farm,20,20,0,9
20,Bake,15,40,25,-1
20,Farm,10,10,0,-1
20,Farm,10,10,0,13
21,Bake,20,20,0,-1
21,Farm,0,0,0,-1
21,Bake,20,20,0,2
21,Bake,20,20,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,4
21,Bake,40,40,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,8
21,Bake,2,2,0,-1
21,Farm,0,0,0,-1
21,Bake,2,2,0,0
21,Bake,20,20,0,-1
21,Farm,0,0,0,-1
21,Bake,20,20,0,10
21,Bake,20,20,0,-1
21,Farm,0,0,0,-1
21,Bake,20,20,0,11
21,Bake,40,40,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,7
21,Bake,40,40,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,6
21,Bake,40,40,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,5
21,Bake,20,20,0,-1
21,Farm,0,0,0,-1
21,Bake,20,20,0,9
21,Bake,40,40,0,-1
21,Farm,0,0,0,-1
21,Farm,0,0,0,13
22,Bake,60,60,0,-1
22,Farm,0,0,0,-1
22,Farm,0,0,0,2
22,Bake,60,60,0,-1
22,Farm,0,0,0,-1
22,Bake,60,60,0,4
22,Bake,120,120,0,-1
22,Farm,0,0,0,-1
22,Farm,0,0,0,8
22,Bake,6,6,0,-1
22,Farm,0,0,0,-1
22,Bake,6,6,0,0
22,Bake,60,60,0,-1
22,Farm,0,0,0,-1
22,Bake,60,60,0,10
22,Bake,60,60,0,-1
22,Farm,0,0,0,-1
22,Bake,60,60,0,11
22,Bake,120,120,0,-1
22,Farm,0,0,0,-1
22,Farm,0,0,0,7
22,Bake,120,120,0,-1
22,Farm,0,0,0,-1
22,Farm,0,0,0,6
22,Bake,120,120,0,-1
22,Farm,0,0,0,-1
22,Farm,0,0,0,5
22,Bake,60,60,0,-1
22,Farm,0,0,0,-1
22,Bake,60,60,0,9
22,Bake,120,120,0,-1
22,Farm,0,0,0,-1
22,Bake,120,120,0,13
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,2
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,4
23,Bake,-25,0,25,-1
23,Farm,1,1,0,-1
23,Farm,1,1,0,8
23,Bake,-25,0,25,-1
23,Farm,20,20,0,-1
23,Farm,20,20,0,0
23,Bake,-25,0,25,-1
23,Farm,20,20,0,-1
23,Farm,20,20,0,10
23,Bake,-25,0,25,-1
23,Farm,20,20,0,-1
23,Farm,20,20,0,11
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,7
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,6
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,5
23,Bake,-25,0,25,-1
23,Farm,20,20,0,-1
23,Farm,20,20,0,9
23,Bake,-25,0,25,-1
23,Farm,10,10,0,-1
23,Farm,10,10,0,13
24,Bake,55,80,25,-1
24,Farm,10,10,0,-1
24,Farm,10,10,0,2
24,Bake,55,80,25,-1
24,Farm,10,10,0,-1
24,Farm,10,10,0,4
24,Bake,135,160,25,-1
24,Farm,1,1,0,-1
24,Farm,1,1,0,8
24,Bake,-17,8,25,-1
24,Farm,20,20,0,-1
24,Farm,20,20,0,0
24,Bake,55,80,25,-1
24,Farm,20,20,0,-1
24,Bake,55,80,25,10
24,Bake,55,80,25,-1
24,Farm,20,20,0,-1
24,Bake,55,80,25,11
24,Bake,135,160,25,-1
24,Farm,10,10,0,-1
24,Bake,135,160,25,7
24,Bake,135,160,25,-1
24,Farm,10,10,0,-1
24,Bake,135,160,25,6
24,Bake,135,160,25,-1
24,Farm,10,10,0,-1
24,Bake,135,160,25,5
24,Bake,55,80,25,-1
24,Farm,20,20,0,-1
24,Bake,55,80,25,9
24,Bake,135,160,25,-1
24,Farm,10,10,0,-1
24,Farm,10,10,0,13
25,Bake,-30,20,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,2
25,Bake,-30,20,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,4
25,Bake,-10,40,50,-1
25,Farm,2,2,0,-1
25,Farm,2,2,0,8
25,Bake,-48,2,50,-1
25,Farm,40,40,0,-1
25,Farm,40,40,0,0
25,Bake,-30,20,50,-1
25,Farm,40,40,0,-1
25,Farm,40,40,0,10
25,Bake,-30,20,50,-1
25,Farm,40,40,0,-1
25,Farm,40,40,0,11
25,Bake,-10,40,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,7
25,Bake,-10,40,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,6
25,Bake,-10,40,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,5
25,Bake,-30,20,50,-1
25,Farm,40,40,0,-1
25,Farm,40,40,0,9
25,Bake,-10,40,50,-1
25,Farm,20,20,0,-1
25,Farm,20,20,0,13
