tick,good,new_price,old_price,unexecuted,volume
40,Grain,0,0,0,0
41,Food,3,4,-49,49
41,Grain,0,0,136,136
41,Food,2,3,-49,49
41,Grain,2,0,136,136
42,Food,1,2,-19,20
42,Grain,1,2,-218,218
42,Food,2,1,2,2
42,Grain,0,1,-218,218
43,Food,2,2,-1,6
43,Grain,0,0,0,0
43,Food,0,2,-1,1
43,Grain,0,0,0,0
44,Food,1,0,191,191
44,Grain,0,0,0,0
44,Food,3,1,26,26
44,Grain,0,0,0,0
45,Food,2,3,-49,49
45,Grain,0,0,136,136
45,Food,1,2,-39,39
45,Grain,0,0,0,0
46,Food,2,1,5,5
46,Grain,0,0,0,0
46,Food,2,2,-19,19
46,Grain,0,0,0,0
47,Food,0,2,-19,19
47,Grain,0,0,0,0
47,Food,1,0,173,173
47,Grain,0,0,0,0
48,Food,1,1,-26,31
48,Grain,0,0,0,0
48,Food,0,1,-26,26
48,Grain,0,0,0,0
49,Food,1,0,149,149
49,Grain,0,0,0,0
49,Food,1,1,-6,6
49,Grain,0,0,0,0
